"Story","Title","Result","Date","Stability","Duration (s)"
"Random string generation story","Generating 1 uppercase string should see 1 uppercase string","SUCCESS","2021-05-11T21:43:12.7002171+03:00[Europe/Athens]","0.0","9.67"
"Random string generation story","Generating 1 numeric string should see 1 numeric string","SUCCESS","2021-05-11T21:43:23.2404542+03:00[Europe/Athens]","0.0","3.27"
"Random string generation story","Generating with all filters disabled should see error message","SUCCESS","2021-05-11T21:43:26.5818072+03:00[Europe/Athens]","0.0","4.02"
"Random string generation story","Using invalid input should see error message","SUCCESS","2021-05-11T21:43:30.6663641+03:00[Europe/Athens]","0.0","4.01"
